Fifth,Sixth,Seventh,Eighth,Ninth,Tenth
75,75,86,75,78,77
82,85,82,95,96,88
74,81,84,85,96,85
98,79,100,94,95,93
96,93,92,77,84,89
81,76,72,95,74,79
87,78,100,92,99,92
72,94,92,80,78,84
89,76,89,77,99,86
96,93,75,77,85,84
72,76,76,84,90,78
90,77,97,81,82,85
98,82,80,99,94,88
86,72,86,92,95,85
87,79,80,76,71,77
81,77,84,91,71,79
89,89,97,79,91,89
76,94,89,87,93,87
72,74,75,77,73,72
79,98,100,95,95,92
93,100,84,95,88,92
80,73,72,84,85,77
96,85,75,78,97,86
100,71,86,83,77,84
94,70,85,77,86,80
96,95,72,88,89,87
86,78,82,83,77,79
97,97,79,96,99,93
76,90,71,86,82,80
75,74,78,94,71,76
95,76,72,89,93,85
82,79,88,70,86,82
86,85,81,72,92,81
95,74,95,96,84,87
91,96,81,99,77,87
93,90,92,84,98,92
87,96,98,73,91,87
80,79,84,79,71,79
76,98,89,81,91,88
96,70,76,99,95,88
99,79,98,71,73,86
97,86,75,94,98,89
87,72,94,100,96,88
92,99,87,96,88,93
87,91,82,87,94,90
83,93,95,76,94,86
96,94,76,78,87,85
94,83,71,78,84,83
74,83,96,86,98,87
99,92,73,74,92,84
87,75,86,72,78,78
97,82,84,96,95,92
93,94,71,92,88,86
83,83,100,77,90,88
81,82,71,72,85,77
76,81,93,91,83,83
77,74,71,95,70,76
82,96,86,70,76,80
81,70,81,75,82,76
87,94,93,96,98,94
77,78,83,80,81,78
83,79,72,70,85,78
92,97,96,72,75,84
85,88,79,83,77,82
79,79,81,78,93,82
72,84,88,84,96,82
94,90,77,83,85,85
83,74,92,72,73,79
84,98,82,94,77,87
99,81,72,81,71,80
88,97,88,76,96,91
90,73,89,80,74,83
83,93,94,76,76,85
75,82,90,72,78,77
98,85,71,92,84,84
100,81,80,96,90,91
82,96,76,75,80,83
85,96,83,80,99,88
97,90,71,70,97,87
77,73,85,76,89,80
98,70,88,80,94,88
90,91,71,85,87,84
83,94,71,97,91,89
90,80,99,79,78,85
76,71,96,99,78,86
97,73,76,84,78,81
70,79,95,94,76,83
74,83,89,82,85,81
100,100,77,99,89,91
80,72,78,96,95,82
87,76,89,75,87,80
100,99,88,76,82,89
91,70,70,71,91,79
96,96,97,96,89,96
77,77,88,72,72,75
80,96,97,99,97,92
91,93,82,85,70,83
76,78,91,92,77,83
88,90,99,70,87,87
97,80,73,76,90,84
80,76,86,74,87,80
90,79,94,95,86,88
83,83,78,90,80,84
97,85,72,87,92,87
70,72,83,83,98,81
90,73,89,77,95,84
73,84,76,77,74,76
86,77,75,84,92,83
91,96,77,90,86,88
98,91,89,72,98,89
98,72,70,90,86,83
76,79,74,91,96,83
96,87,100,81,78,88
87,91,70,71,76,78
96,73,85,94,81,86
77,98,72,95,90,84
78,89,81,99,78,85
72,86,89,100,95,88
72,77,98,96,89,87
86,94,81,96,96,92
85,95,93,84,100,91
95,91,83,81,80,85
72,71,95,84,73,78
81,98,80,95,91,90
98,80,100,95,79,89
81,91,86,81,83,85
93,87,96,92,76,87
71,70,82,94,74,78
79,84,77,74,87,81
96,85,70,81,95,83
96,79,77,82,73,80
73,81,87,88,84,84
90,74,92,86,84,86
83,99,74,84,97,86
77,75,78,73,96,78
94,70,88,92,75,83
81,79,93,71,70,79
75,78,100,75,71,81
88,73,99,83,92,87
84,91,79,99,74,85
90,94,84,99,98,93
86,80,70,96,81,80
78,82,86,95,73,84
70,84,86,87,89,85
94,77,97,100,72,87
80,97,81,83,96,87
88,86,79,94,86,84
71,71,87,85,70,77
74,80,93,100,70,84
73,89,71,84,99,81
70,79,100,92,81,82
70,73,99,85,75,80
73,85,79,74,71,77
89,90,96,84,99,89
80,86,85,94,93,88
92,97,78,81,91,88
75,100,75,84,71,83
86,95,82,99,85,88
71,78,86,88,71,79
73,80,96,96,72,83
83,70,76,84,77,80
91,80,96,90,71,84
80,76,76,85,87,80
90,89,86,87,97,90
84,80,75,85,81,82
93,78,85,93,81,85
87,90,90,70,75,81
80,97,100,100,96,93
92,73,93,80,95,85
99,92,76,73,89,87
80,81,96,100,88,89
86,87,82,79,74,79
89,92,89,88,77,88
72,98,80,79,90,85
72,80,72,95,86,80
97,86,92,84,88,88
91,78,92,72,72,80
80,97,71,98,79,84
88,74,71,76,78,76
74,84,94,96,75,85
73,92,77,73,96,80
91,72,99,96,74,88
89,100,90,77,79,88
100,71,82,81,87,86
91,80,70,85,91,83
97,75,89,72,71,78
94,92,88,76,99,88
77,79,89,85,76,83
75,91,88,98,72,83
99,85,74,100,89,90
98,88,88,82,85,88
95,86,96,90,74,87
77,98,75,70,84,81
73,98,73,76,100,84
71,83,88,87,74,79
98,78,80,85,97,87
89,77,74,84,73,78
79,91,70,76,79,78
99,73,72,76,95,85
96,90,82,81,74,83
83,77,76,86,71,79
100,77,91,86,83,87
87,100,84,91,98,93
80,78,84,92,94,86
89,97,71,85,94,85
74,97,98,81,96,90
94,97,72,81,99,87
100,70,81,79,95,85
79,86,78,80,90,80
92,91,70,72,99,83
87,90,89,75,95,86
84,74,91,91,81,83
77,84,77,100,75,81
96,85,80,83,100,87
73,100,87,80,81,83
82,79,79,79,89,81
99,85,78,70,94,85
95,79,99,85,79,86
97,78,70,92,79,81
79,93,82,96,95,88
87,73,70,71,87,77
70,96,87,88,78,85
88,87,94,81,95,90
92,89,89,90,82,87
70,80,82,85,97,83
91,87,95,83,81,87
98,90,93,85,73,88
95,78,86,100,83,89
92,87,98,73,83,88
78,83,94,94,76,84
96,81,74,76,84,81
89,88,84,97,90,89
83,82,87,98,77,83
90,71,75,72,85,79
85,84,87,85,85,84
98,72,75,97,83,84
79,92,99,86,96,91
99,97,94,78,70,86
95,81,86,82,77,83
78,89,85,79,97,87
70,89,80,99,75,81
99,92,71,74,81,83
73,84,87,70,72,76
71,96,97,72,92,84
96,76,79,99,76,84
98,85,88,87,74,86
99,90,94,83,98,91
97,82,99,80,92,89
75,80,82,70,83,76
82,70,100,87,72,82
97,70,74,86,86,82
91,84,81,97,96,90
94,93,98,98,99,94
78,74,73,84,90,79
93,74,89,98,88,86
81,77,82,78,96,82
95,96,91,97,89,94
73,82,76,94,79,79
95,86,77,100,74,84
74,74,95,76,82,79
95,75,88,87,95,87
74,98,93,82,99,88
79,80,85,90,77,83
85,84,79,71,86,81
81,96,72,88,90,84
99,96,90,82,80,87
84,98,88,79,78,87
92,86,93,79,80,84
73,85,77,96,96,87
87,83,85,91,94,87
70,87,85,71,84,78
87,88,78,88,82,83
97,91,76,88,86,85
85,99,83,70,72,80
97,82,90,76,74,83
72,78,92,77,88,79
77,71,88,85,80,80
74,87,75,96,100,87
91,100,72,96,86,91
95,84,98,78,93,88
89,84,91,85,94,90
89,78,87,86,89,83
79,72,96,83,94,84
80,100,91,97,100,91
75,81,77,70,100,81
94,86,98,70,97,89
75,89,90,74,86,81
79,83,96,96,90,88
77,89,77,87,96,87
72,80,94,98,94,89
83,91,99,82,93,89
76,79,84,88,77,81
97,81,70,97,83,87
95,89,96,92,76,88
70,93,88,74,74,81
92,85,73,96,95,86
76,85,71,83,95,83
72,84,93,97,77,85
77,92,72,74,91,83
80,75,91,92,76,84
83,79,84,89,95,88
90,97,74,70,97,84
76,76,71,96,79,79
99,89,70,80,96,88
99,86,100,76,84,88
79,74,82,76,74,76
92,96,70,80,77,84
93,79,82,71,75,81
97,99,84,87,91,91
70,77,70,77,81,75
90,100,96,74,88,87
72,77,74,91,100,84
75,88,98,96,74,87
97,70,72,88,77,82
96,76,88,85,100,90
75,70,84,71,75,77
79,92,90,80,97,87
96,78,86,70,88,85
70,77,77,93,100,81
74,98,87,100,73,84
85,71,100,95,88,89
97,94,70,75,92,84
80,96,98,73,88,86
96,97,81,97,87,90
100,71,71,76,85,80
75,99,73,80,91,81
91,76,74,70,71,74
85,91,79,99,95,88
91,86,88,87,90,88
77,85,100,76,79,84
77,100,82,99,96,92
89,81,95,84,100,87
71,99,92,86,97,87
78,71,90,85,86,84
95,79,86,95,79,85
92,76,75,74,97,82
98,83,85,91,98,89
87,70,98,75,82,80
90,88,90,99,70,88
77,72,70,75,81,76
97,95,88,95,73,88
85,83,75,78,74,81
79,87,81,92,80,85
85,88,70,91,87,82
75,97,72,70,71,75
75,93,74,98,100,86
91,87,93,87,94,90
80,88,99,77,91,86
86,78,86,97,98,88
93,84,70,83,74,79
71,74,83,95,89,84
82,85,91,73,94,83
97,98,84,84,79,88
99,70,73,81,74,81
87,91,74,73,80,81
100,80,86,77,90,85
94,72,94,79,84,83
91,98,91,91,70,88
95,92,72,92,92,89
98,90,74,84,81,86
90,76,84,74,89,84
100,97,89,82,72,88
93,91,77,76,74,81
91,92,76,84,76,81
81,88,74,97,89,86
71,93,92,87,75,81
97,99,92,70,93,91
75,98,80,70,75,79
90,70,97,79,81,84
85,88,92,83,96,90
96,100,94,77,75,90
90,90,84,86,71,83
78,78,90,94,76,84
74,75,80,73,92,80
90,78,95,92,99,92
100,86,75,84,96,86
86,91,78,73,96,82
88,99,83,99,77,90
96,98,83,71,84,84
83,99,96,84,86,91
88,91,100,70,72,86
94,88,71,99,82,84
70,91,88,75,93,84
93,97,81,70,78,83
90,86,88,95,81,87
88,95,77,94,90,90
71,87,75,96,99,87
100,76,97,93,96,94
77,73,84,88,74,79
74,83,71,74,77,74
94,79,100,91,73,88
93,72,79,99,88,87
94,78,100,71,94,86
92,94,89,77,82,88
94,81,78,90,92,86
90,84,76,75,90,81
75,99,90,81,76,85
100,70,92,74,96,84
81,71,92,79,86,81
76,79,99,72,90,81
95,72,85,71,92,82
87,73,79,73,86,78
80,93,80,85,83,84
77,83,79,73,90,81
99,96,86,80,84,88
97,79,100,82,98,93
74,96,83,80,91,86
74,91,85,90,81,84
85,72,81,71,84,77
91,71,97,92,72,86
86,74,89,100,94,87
72,81,87,89,81,82
75,83,97,71,91,82
87,100,70,94,82,86
